,pmid,gene,species,trait_name,trait_id,relation_type,evidence,method
19,37985582,TaSKP1-6B-4,Triticum aestivum,grain yield,TO:0000396,increases,Higher fold induction of TaSKP1-6B-4 transcripts was recorded in 10 genotypes under THS over ambient temperature.,transcript profiling
20,PMID:38063491,TaBBE64,Triticum aestivum,disease resistance,TO:0000111,enhances,"Knocking down TaBBE64 compromised wheat's Pst resistance, reducing reactive oxygen species and promoting fungal growth, confirming its positive role.",RNA-seq
21,PMID:38737737,TaCRK,Triticum aestivum,male sterility,TO:0000016,increases,"qRT-PCR validation of the six TaCRK genes showed that they play key roles in the development of the mononuclear stage anthers, as all six genes were expressed at highly significant levels in heat-stressed male sterile mononuclear stage anthers compared to normal anthers.",qRT-PCR
22,PMID:39373738,TdFIP37,Triticum dicoccoides,salt tolerance,TO:0006003,regulates,"The loss-function mutant of Tdfip37 displayed the significantly higher salt-sensitive compared to WT and then RNA-seq analysis demonstrated that FIP37 mediated the MAPK pathway, hormone signal transduction, as well as transcription factor to regulate salt tolerance.",RNA-seq
23,PMID:38864777,TaAOS1-5B,Triticum aestivum,JA-responsiveness,TO:0006004,increases,"Gene expression studies delineated TaAOS1-5B as JA-responsive in leaves, but not significantly responsive to SA treatment.",gene expression studies
24,PMID:38183904,TaTLP44,Triticum aestivum,resistance to Rhizoctonia cerealis,TO:0002636,negatively regulates,Gene silencing of TaTLP44 in wheat increased the expression of some defense-associated genes and improved resistance to R. cerealis.,gene silencing
25,PMID:38671351,TaUBC25,Triticum aestivum,thousand kernel weight,TO:0000382,increases,"The results showed that TaUBC25-Hap II had significantly higher TKW, KL, KW, and KT than TaUBC25-Hap I.",association analysis
26,PMID:39000115,TaSBP-A,Triticum aestivum,plant height,TO:0000207,increases,"The results showed that TaSBP-A gene overexpression significantly increased plant height (by 18.50%), number of spikelets (by 11.74%), and number of grains in a spike (by 35.66%) in wheat.",gene overexpression
27,PMID:39382027,ERD15,Triticum aestivum,drought tolerance,TO:0006001,regulates,"ERD15, differentially expressed between contrasting wheat genotypes under combined stress conditions, significantly regulates water relations, photosynthetic activity, antioxidant activity, and ion homeostasis.",meta-QTL and meta-RNA-Seq transcriptome analyses
28,PMID:38503771,Pm13,Triticum aestivum,resistance to powdery mildew,TO:0000133,provides,"The resistance function of Pm13 is validated by mutagenesis, gene silencing, transgenic assay, and allelic association analyses.","mutagenesis, gene silencing, transgenic assay, allelic association analyses"
29,PMID:38709271,TaSP1,Triticum aestivum,spikelet number,TO:0000749,increases,Haplotype analysis of 655 wheat cultivars using the candidate gene-specific marker Xg010200p2 identified a superior haplotype TaSP1b with longer spike and more spikelet number.,haplotype analysis
30,PMID:38874613,Rht14,Triticum durum,stigma length,TO:0000516,increases,"The dwarfing allele Rht14 of durum wheat associates with greater stigma length, an important trait for hybrid breeding.",QTL analysis
31,PMID:38348504,TaRBL14a,Triticum aestivum,thousand kernel weight,TO:0000382,increases,We found that the elite haplotype TaRBL14a-Hap2 showed a significantly higher 1000-grain weight than TaRBL14a-Hap11 in at least three environments.,haplotype analysis
32,PMID:38780795,TaAGL66,Triticum aestivum,pollen development,TO:0000499,regulates,"Silencing of TaAGL66 under fertility condition in KTM3315A displayed severe fertility reduction, abnormal anther dehiscence, defective pollen development, decreased viability, and low seed-setting.",gene silencing
33,PMID:38654190,TaPer12-3A,Triticum aestivum,seed dormancy,TO:0000659,negatively regulates,TaPer12-3A negatively regulated SD and positively mediated germination.,gene knockout
34,PMID:39004709,ABI3,Triticum aestivum,plant height,TO:0000207,enhances,"The results revealed that various morphological and agronomical characteristics, such as plant height, spikes per plant, spike length, spikelet per spike, grains per spikelet, and 100-grain weight, showed increases in different genotypes from M1 to M2.",mutagenesis
35,PMID:38664603,TaBBX4-2A,Triticum aestivum,seed dormancy,TO:0000253,regulates,TaBBX4-2A may regulate seed dormancy and germination by transcriptional regulation.,qRT-PCR analysis
36,PMID:39110238,YrBDT,Triticum aestivum,wheat stripe rust disease resistance,TO:0020055,confers,"Resistance in Baidatou to Pst race CYR31 was conferred by a single dominant gene, temporarily designated YrBDT.",Bulked segregant exome capture sequencing (BSE-seq) analysis
37,PMID:39340687,Vrn-A1,Triticum aestivum,photoperiod sensitivity trait,TO:0000229,influences,Variation at the Vrn-A1 locus on 5A assigned accessions to two haplotypes (6% and 94%).,genome scan and genome-environment association (GEA) analyses
38,PMID:38952297,Lr15,Triticum aestivum,wheat leaf rust disease resistance,TO:0020057,induces,Heterologously produced AvrLr15 triggered pronounced cell death in Lr15-isogenic wheat leaves.,molecular analysis
39,PMID:37975410,ω-gliadin,Triticum aestivum,immunotoxicity reduction,TO:0006002,reduces,"The estimated 75% and 64% reduction in ω- and γ-gliadin content, respectively, had no negative impact on the end-use quality characteristics of grain protein and dough.",CRISPR-Cas9
40,PMID:37975410,γ-gliadin,Triticum aestivum,immunotoxicity reduction,TO:0006002,reduces,A 47-fold immunoreactivity reduction compared to a non-edited line was demonstrated using antibodies against immunotoxic peptides.,CRISPR-Cas9
41,PMID:38071644,Pm17,Triticum aestivum,powdery mildew resistance,TO:0006003,confers,"Four transgenic events showed high levels of PM17 protein accumulation, strong powdery mildew resistance, and no pleiotropic effects during three field seasons.",gene overexpression
42,PMID:39128403,TaMYB-CC5,Triticum aestivum,drought stress tolerance,TO:0006004,enhances,"The overexpression of TaMYB-CC5A in Arabidopsis resulted in a significant increase of root length under stress conditions, thereby enhancing tolerance to phosphate starvation and drought stress.",gene overexpression
43,PMID:39128403,TaMYB-CC5,Triticum aestivum,phosphate starvation tolerance,TO:0006005,enhances,The wheat lines with silenced TaMYB-CC5 genes exhibited reduced root length under stress conditions and increased sensitivity to phosphate deficiency and drought stress.,gene silencing
44,PMID:38568320,TaFPF1,Triticum aestivum,days to heading,TO:0000137,delays,TaFPF1 knockout mutants showed delayed heading and increased grain size.,gene editing
45,PMID:38568320,TaFPF1,Triticum aestivum,grain size,TO:0002734,increases,TaFPF1 knockout mutants showed delayed heading and increased grain size.,gene editing
46,PMID:38417687,TRITD0Uv1G104670 (TdELD1-1A),Triticum durum,glume pubescence,TO:0006003,controls,"TRITD0Uv1G104670 (TdELD1-1A), encoding glycosyltransferase-like ELD1/KOBITO 1, was detected as the most promising candidate gene of Hg1 for glume pubescence in durum wheat.",GWAS
47,PMID:38926865,TaSOS1,Triticum aestivum,salt tolerance,TO:0006002,enhances,CV. Gemmiza 7 and CV. Gemmiza 11 exhibited the most significant alterations in the expression of their TaSOS1 genes.,gene expression analysis
48,PMID:38926865,NHX1,Triticum aestivum,salt tolerance,TO:0006002,enhances,CV. Misr 2 exhibited the highest degree of variability in the expression of the NHX1 gene.,gene expression analysis
49,PMID:38926865,DHN3,Tritum aestivum,salt tolerance,TO:0006002,enhances,CV. Sakha 94 exhibited the highest degree of variability in the expression of the DHN3 gene.,gene expression analysis
50,PMID:38926865,GR,Triticum aestivum,salt tolerance,TO:0006002,enhances,CV. Sakha 95 exhibited the highest degree of variability in the expression of the GR gene.,gene expression analysis
51,PMID:38745148,TaCTR1,Triticum aestivum,flowering time,TO:0000134,regulates,The overexpression of TaCTR1 caused early flowering time in transgenic lines.,gene overexpression
52,PMID:37597666,heat tolerance gene,Triticum aestivum,heat tolerance,TO:0000259,induces,"Wheat activates its heat tolerance mechanisms characterized by hoarding up soluble carbohydrates, signalling molecules, and heat tolerance gene expressions.",review
53,PMID:38791522,TaTGW-7B,Triticum aestivum,thousand kernel weight,TO:0000382,regulates,The quantitative real-time PCR (qRT-PCR) and dual-luciferase reporter assays confirmed the target regulatory relationships between miR1130a-TaTGW-7B.,qRT-PCR and dual-luciferase reporter assays
54,PMID:38791522,TaNF-YB1,Triticum aestivum,grain development,TO:0006004,regulates,The quantitative real-time PCR (qRT-PCR) and dual-luciferase reporter assays confirmed the target regulatory relationships between miR1122a-TaNF-YB1.,qRT-PCR and dual-luciferase reporter assays
55,PMID:38557938,TaGSK3,Triticum aestivum,heat tolerance,TO:0000259,enhances,"Notably, this mutation conferred significant drought and heat stress resistance of wheat, and enhanced heat tolerance independent of BR signalling.",mutation analysis
56,PMID:37985755,LHP1,Triticum aestivum,stripe rust resistance,TO:0006001,confers,The simultaneous inactivation of LHP1 homoeologs by CRISPR-Cas9 confers robust stripe rust resistance in wheat seedlings.,CRISPR-Cas9
57,PMID:38850423,Yr30,Triticum aestivum,stripe rust resistance,TO:0006001,confers,Near-isogenic lines (NILs) with Yr30 showed a 32.94% higher grain yield than susceptible counterparts when grown in a stripe rust nursery.,expression analysis and sequence polymorphisms
58,PMID:37227435,Unknown,Triticum aestivum,resistance to Pratylenchus neglectus,TO:0000260,confers,Genetic resistance is one of the most economical and effective ways to manage P. neglectus in wheat.,greenhouse experiments
59,PMID:38443953,Unknown,Triticum aestivum,Fusarium head blight susceptibility,TO:0006053,increases,A refined list of 142 conserved susceptibility gene candidates was proposed to be necessary host's determinants for the establishment of a compatible interaction.,transcriptomics and regulation network approach
60,PMID:38584326,FIGL1,Triticum aestivum,meiotic crossover frequency,TO:0000728,increases,CO/chiasma frequency increased 2.1-fold in a figl1 msh5 quadruple mutant compared with a msh5 double mutant.,genetic mapping
61,39394572,TaTIFY3B,Triticum aestivum,seed germination,TO:0000391,improves,Transgenic rice plants overexpressing wheat TaTIFY3B and TaTIFY10A improved seed germination rates.,gene overexpression
62,39394572,TaTIFY10A,Triticum aestivum,seed germination,TO:0000391,improves,Transgenic rice plants overexpressing wheat TaTIFY3B and TaTIFY10A improved seed germination rates.,gene overexpression
63,39273103,"CZ, ABA, and IAA",Triticum aestivum,root length,TO:0000227,increases,"Correlation analysis of total root length and phytohormones indicated that CZ, ABA, and IAA are positively associated with wheat root length.",Correlation analysis
64,38783514,Rht-D1b,Triticum aestivum,root biomass,TO:0000043,decreases,"Rht-D1b, Rht-B1c and the double dwarf (Rht-B1b + Rht-D1b) decreased the root biomass.",Comparison of near-isogenic lines
65,38783514,Rht-B1c,Triticum aestivum,specific root length,TO:0000229,increases,Rht-B1c reduced the energy cost of roots by increasing specific root length.,Comparison of near-isogenic lines
66,37749479,Pm38,Triticum aestivum,powdery mildew resistance,TO:0006002,provides,The molecular marker-based screening revealed that Pm38 was the most prevalent and detected in 100% of wheat lines.,Molecular genotyping
67,37994951,ELS3,Triticum aestivum,leaf senescence,TO:0000375,induces,"Characterization of the early leaf senescence mutant els3 and identification of its causal gene ELS3, which encodes an LRR-RLK protein in wheat.",Genetic mapping and sequence analysis
68,PMID:39240941,Lr46-Glu2,Triticum aestivum,Puccinia triticina resistance,TO:0000271,contributes,"The highest expression of Lr46/Yr29 candidate genes occurred at 12 and 24 hpi and such expression profiles were obtained only for one candidate gene among the nine genes analyzed (Lr46-Glu2), indicating that it may be a contributing factor in the resistance response to Pt infection.",qRT-PCR
69,PMID:37902906,TaWRKY17,Triticum aestivum,salt tolerance,TO:0006046,enhances,TaWRKY17 overexpression in Arabidopsis and wheat caused a significant plant salt-stress tolerance enhancement.,gene overexpression
70,PMID:39256758,TaNDUFA9,Triticum aestivum,Fusarium head blight resistance,TO:0000259,inhibits,The loss-of-function mutant of TaNDUFA9 exhibited elevated levels of SA and increased resistance to FHB caused by F. graminearum infection.,loss-of-function mutant
71,37706535,TaASR3,Triticum aestivum,resistance to stripe rust,TO:0000358,increases,Virus-induced gene silencing and overexpression demonstrated that TaASR3 contributes to wheat resistance to stripe rust by promoting accumulation of reactive oxygen species and cell death.,gene overexpression
72,38407913,TaMyb10-D,Triticum aestivum,pre-harvest sprouting resistance,TO:0006081,increases,"Accessions exclusively harboring TaMyb10-D displayed red seed color and reduced germination percentages, indicating the predominant role of TaMyb10-D compared to TaMyb10-A and TaMyb10-B.",sequence analysis
73,38003231,VRN1,Triticum aestivum,days to heading,TO:0000137,decreases,"Fifty-five spelt genotypes (91.7%) exhibited a spring growth habit, and all of them carried at least one dominant VRN1 allele, whereas five (8.3%) genotypes had a winter growth habit, and they carried the triple recessive allele combination.",gene-specific molecular markers
74,38003231,PPD1,Triticum aestivum,photoperiod sensitivity,TO:0000652,increases,"All spelt accessions carried the photoperiod-sensitive Ppd-D1b allele, which may explain the late heading of spelt germplasm compared to the commercial spring bread wheat Setenil used as a control.",gene-specific molecular markers
75,38554674,TaMAPK3,Triticum aestivum,freezing tolerance,TO:0000207,decreases,"TaMAPK3-overexpressing transgenic Brachypodium showed a lower survival rate upon freezing stress and lower proline content during cold acclimation, compared to wild-type plants.",gene overexpression
76,PMID:38203695,ACS,Triticum aestivum,seed aging,TO:0000357,regulates,"Key genes such as ACS, F16P2, and PPDK1 may be crucial in regulating physiological changes in seeds during artificial aging.",metabolome and transcriptome analyses
77,PMID:38203695,F16P2,Triticum aestivum,seed aging,TO:0000357,regulates,"Key genes such as ACS, F16P2, and PPDK1 may be crucial in regulating physiological changes in seeds during artificial aging.",metabolome and transcriptome analyses
78,PMID:38203695,PPDK1,Triticum aestivum,seed aging,TO:0000357,regulates,"Key genes such as ACS, F16P2, and PPDK1 may be crucial in regulating physiological changes in seeds during artificial aging.",metabolome and transcriptome analyses
79,PMID:38203695,BCAT3,Triticum aestivum,seed vigor,TO:0000358,regulates,"Key genes such as BCAT3, CHI1, GAUT1, and GAUT4 may play pivotal roles in vigor differences between cultivars.",metabolome and transcriptome analyses
80,PMID:38203695,CHI1,Triticum aestivum,seed vigor,TO:0000358,regulates,"Key genes such as BCAT3, CHI1, GAUT1, and GAUT4 may play pivotal roles in vigor differences between cultivars.",metabolome and transcriptome analyses
81,PMID:38203695,GAUT1,Triticum aestivum,seed vigor,TO:0000358,regulates,"Key genes such as BCAT3, CHI1, GAUT1, and GAUT4 may play pivotal roles in vigor differences between cultivars.",metabolome and transcriptome analyses
82,PMID:38203695,GAUT4,Triticum aestivum,seed vigor,TO:0000358,regulates,"Key genes such as BCAT3, CHI1, GAUT1, and GAUT4 may play pivotal roles in vigor differences between cultivars.",metabolome and transcriptome analyses
83,PMID:37982873,TraesCS2D02G142500,Triticum aestivum,thousand kernel weight,TO:0000382,reduces,"A rare haplotype, Hap-2, which reduced TKW to a lesser extent than Hap-1 under drought stress, was identified.",association mapping and linkage analysis
84,PMID:39009774,Ne-V,Triticum aestivum,hybrid necrosis,TO:0000439,causes,"A semidominant hybrid necrosis-related gene, Ne-V, was mapped to an 11.8-cM genetic interval on the long arm of chromosome 2V, representing a novel genetic locus identified in Triticum-related species.",genetic mapping
85,37272049,Pm2a,Triticum aestivum,powdery mildew resistance,TO:0006033,confers,"Of the 87 wheat genotypes that fitted the monogenic inheritance, 75 carried the Pm2a allele.",genetic analysis
86,38412139,TabHLH489,Triticum aestivum,grain length,TO:0002734,decreases,"Knockout of TabHLH489 and its homologous genes resulted in increased grain length and weight, whereas the overexpression led to decreased grain length and weight.",gene knockout
87,38987431,VRN1,Triticum aestivum,vernalization requirement,TO:0000462,affects,"Mutations in FERTILIZATION-INDEPENDENT ENDOSPERM (TaFIE) and SET DOMAIN GROUP 8/EARLY FLOWERING IN SHORT DAYS (TaSDG8/TaEFS), components of the writer complex for H3K27me3 and H3K36me3, respectively, affected flowering time.",mutant analysis
88,38091074,QYrAS286-2BL,Triticum aestivum,stripe rust resistance,TO:0000398,confers,A novel major adult-plant stripe rust resistance QTL derived from cultivated emmer wheat was mapped to a 123.6-kb region on wheat chromosome 2BL.,QTL mapping
89,37904124,Cre5,Triticum aestivum,cereal cyst nematode resistance,TO:0006002,controls,One of these QTLs was co-localized with a previously reported wheat gene Cre5 for resistance to CCN.,QTL mapping
90,38068906,TaPLC1-2B,Triticum aestivum,heat stress tolerance,TO:0000274,involved,"Our previous work identified a gene involved in heat stress tolerance in wheat, TaPLC1-2B.",RNAi-silencing
91,38772456,TaGT43,Triticum aestivum,cell wall organization,TO:0006033,mediates,GO enrichment analysis indicated that the TaGT43 genes play a significant role in cell wall organization.,GO enrichment analysis
92,PMID:38329576,TaMYB305,Triticum aestivum,pollen development,TO:0000254,regulates,"Silencing of TaMYB305 was related to abnormal development of stamen, including anther indehiscence and pollen abortion in KAM3315A plants.",gene silencing
93,PMID:38329576,TaMYB305,Triticum aestivum,anther development,TO:0006301,regulates,"Silencing of TaMYB305 was related to abnormal development of stamen, including anther indehiscence and pollen abortion in KAM3315A plants.",gene silencing
